
******************************directory****************************
spec_dir: /home/cuihongwei/experiment/mcpat-gem5-master/spec2006
run_dir:  /home/cuihongwei/experiment/simpoint/429.mcf/arm-429.mcf-input1-190518-113053/run
gem5_dir: /home/cuihongwei/experiment/experiment-gem5/raw-gem5
gem5_output_dir: /home/cuihongwei/experiment/simpoint/429.mcf/arm-429.mcf-input1-190518-113053
benchmark_output:/home/cuihongwei/experiment/simpoint/429.mcf/arm-429.mcf-input1-190518-113053

******************************benchmark****************************
target:     429.mcf
executable: mcf
args:       inp.in
input:      
output:     /home/cuihongwei/experiment/simpoint/429.mcf/arm-429.mcf-input1-190518-113053/run/inp.out
errout:     /home/cuihongwei/experiment/simpoint/429.mcf/arm-429.mcf-input1-190518-113053/run/inp.err

******************************gem5****************************
arch:       /home/cuihongwei/experiment/experiment-gem5/raw-gem5/build/ARM/gem5.opt
config:     /home/cuihongwei/experiment/experiment-gem5/raw-gem5/configs/example/se.py
args:       --simpoint-profile --simpoint-interval=100000000 --maxinsts=900000000000 --cpu-type=NonCachingSimpleCPU --mem-type=SimpleMemory --mem-size=8GB

******************************simulation****************************
start time:(year-mon-day hour-minute-second)19-05-18 11-30-53
gem5 Simulator System.  http://gem5.org
gem5 is copyrighted software; use the --copyright option for details.

gem5 compiled May 17 2019 22:58:52
gem5 started May 18 2019 11:30:54
480000206500: system.cpu: Running Insts:       960000000
485000206500: system.cpu: Running Insts:       970000000
490000206500: system.cpu: Running Insts:       980000000
495000206500: system.cpu: Running Insts:       990000000
500000206500: system.cpu: Running Insts:      1000000000
505000206500: system.cpu: Running Insts:      1010000000
510000206500: system.cpu: Running Insts:      1020000000
515000206500: system.cpu: Running Insts:      1030000000
520000206500: system.cpu: Running Insts:      1040000000
525000206500: system.cpu: Running Insts:      1050000000
530000206500: system.cpu: Running Insts:      1060000000
535000206500: system.cpu: Running Insts:      1070000000
540000206500: system.cpu: Running Insts:      1080000000
545000206500: system.cpu: Running Insts:      1090000000
550000206500: system.cpu: Running Insts:      1100000000
555000206500: system.cpu: Running Insts:      1110000000
560000206500: system.cpu: Running Insts:      1120000000
565000206500: system.cpu: Running Insts:      1130000000
570000206500: system.cpu: Running Insts:      1140000000
575000206500: system.cpu: Running Insts:      1150000000
580000206500: system.cpu: Running Insts:      1160000000
585000206500: system.cpu: Running Insts:      1170000000
590000206500: system.cpu: Running Insts:      1180000000
595000206500: system.cpu: Running Insts:      1190000000
600000206500: system.cpu: Running Insts:      1200000000
605000206500: system.cpu: Running Insts:      1210000000
610000206500: system.cpu: Running Insts:      1220000000
615000206500: system.cpu: Running Insts:      1230000000
620000206500: system.cpu: Running Insts:      1240000000
625000206500: system.cpu: Running Insts:      1250000000
630000206500: system.cpu: Running Insts:      1260000000
635000206500: system.cpu: Running Insts:      1270000000
640000206500: system.cpu: Running Insts:      1280000000
645000206500: system.cpu: Running Insts:      1290000000
650000206500: system.cpu: Running Insts:      1300000000
655000206500: system.cpu: Running Insts:      1310000000
660000206500: system.cpu: Running Insts:      1320000000
665000206500: system.cpu: Running Insts:      1330000000
670000206500: system.cpu: Running Insts:      1340000000
675000206500: system.cpu: Running Insts:      1350000000
680000206500: system.cpu: Running Insts:      1360000000
685000206500: system.cpu: Running Insts:      1370000000
690000206500: system.cpu: Running Insts:      1380000000
695000206500: system.cpu: Running Insts:      1390000000
700000206500: system.cpu: Running Insts:      1400000000
705000206500: system.cpu: Running Insts:      1410000000
710000206500: system.cpu: Running Insts:      1420000000
715000206500: system.cpu: Running Insts:      1430000000
720000206500: system.cpu: Running Insts:      1440000000
725000206500: system.cpu: Running Insts:      1450000000
730000206500: system.cpu: Running Insts:      1460000000
735000206500: system.cpu: Running Insts:      1470000000
740000206500: system.cpu: Running Insts:      1480000000
745000206500: system.cpu: Running Insts:      1490000000
750000206500: system.cpu: Running Insts:      1500000000
755000206500: system.cpu: Running Insts:      1510000000
760000206500: system.cpu: Running Insts:      1520000000
765000206500: system.cpu: Running Insts:      1530000000
770000206500: system.cpu: Running Insts:      1540000000
775000206500: system.cpu: Running Insts:      1550000000
780000206500: system.cpu: Running Insts:      1560000000
785000206500: system.cpu: Running Insts:      1570000000
790000206500: system.cpu: Running Insts:      1580000000
795000206500: system.cpu: Running Insts:      1590000000
800000206500: system.cpu: Running Insts:      1600000000
805000206500: system.cpu: Running Insts:      1610000000
810000206500: system.cpu: Running Insts:      1620000000
