
******************************directory****************************
spec_dir: /home/cuihongwei/experiment/mcpat-gem5-master/spec2006
run_dir:  /home/cuihongwei/experiment/simpoint/401.bzip2/arm-401.bzip2-input6-190517-230332/run
gem5_dir: /home/cuihongwei/experiment/experiment-gem5/raw-gem5
gem5_output_dir: /home/cuihongwei/experiment/simpoint/401.bzip2/arm-401.bzip2-input6-190517-230332
benchmark_output:/home/cuihongwei/experiment/simpoint/401.bzip2/arm-401.bzip2-input6-190517-230332

******************************benchmark****************************
target:     401.bzip2
executable: bzip2
args:       input.combined 200
input:      
output:     /home/cuihongwei/experiment/simpoint/401.bzip2/arm-401.bzip2-input6-190517-230332/run/input.combined.out
errout:     /home/cuihongwei/experiment/simpoint/401.bzip2/arm-401.bzip2-input6-190517-230332/run/input.combined.err

******************************gem5****************************
arch:       /home/cuihongwei/experiment/experiment-gem5/raw-gem5/build/ARM/gem5.opt
config:     /home/cuihongwei/experiment/experiment-gem5/raw-gem5/configs/example/se.py
args:       --simpoint-profile --simpoint-interval=100000000 --maxinsts=900000000000 --cpu-type=NonCachingSimpleCPU --mem-type=SimpleMemory --mem-size=8GB

******************************simulation****************************
start time:(year-mon-day hour-minute-second)19-05-17 23-03-32
gem5 Simulator System.  http://gem5.org
gem5 is copyrighted software; use the --copyright option for details.

gem5 compiled May 17 2019 22:58:52
gem5 started May 17 2019 23:03:33
475000215500: system.cpu: Running Insts:       950000000
480000215500: system.cpu: Running Insts:       960000000
485000215500: system.cpu: Running Insts:       970000000
490000215500: system.cpu: Running Insts:       980000000
495000215500: system.cpu: Running Insts:       990000000
500000215500: system.cpu: Running Insts:      1000000000
505000215500: system.cpu: Running Insts:      1010000000
510000215500: system.cpu: Running Insts:      1020000000
515000215500: system.cpu: Running Insts:      1030000000
520000215500: system.cpu: Running Insts:      1040000000
525000215500: system.cpu: Running Insts:      1050000000
530000215500: system.cpu: Running Insts:      1060000000
535000215500: system.cpu: Running Insts:      1070000000
540000215500: system.cpu: Running Insts:      1080000000
545000215500: system.cpu: Running Insts:      1090000000
550000215500: system.cpu: Running Insts:      1100000000
555000215500: system.cpu: Running Insts:      1110000000
560000215500: system.cpu: Running Insts:      1120000000
565000215500: system.cpu: Running Insts:      1130000000
570000215500: system.cpu: Running Insts:      1140000000
575000215500: system.cpu: Running Insts:      1150000000
580000215500: system.cpu: Running Insts:      1160000000
585000215500: system.cpu: Running Insts:      1170000000
590000215500: system.cpu: Running Insts:      1180000000
595000215500: system.cpu: Running Insts:      1190000000
600000215500: system.cpu: Running Insts:      1200000000
605000215500: system.cpu: Running Insts:      1210000000
610000215500: system.cpu: Running Insts:      1220000000
615000215500: system.cpu: Running Insts:      1230000000
620000215500: system.cpu: Running Insts:      1240000000
625000215500: system.cpu: Running Insts:      1250000000
630000215500: system.cpu: Running Insts:      1260000000
635000215500: system.cpu: Running Insts:      1270000000
640000215500: system.cpu: Running Insts:      1280000000
645000215500: system.cpu: Running Insts:      1290000000
