
******************************directory****************************
spec_dir: /home/cuihongwei/spec2006
run_dir:  /home/cuihongwei/gem5/simpoint_arm/401.bzip2/arm-401.bzip2-input4-190604-144227/run
gem5_dir: /home/cuihongwei/gem5/pubs-gem5
gem5_output_dir: /home/cuihongwei/gem5/simpoint_arm/401.bzip2/arm-401.bzip2-input4-190604-144227
benchmark_output:/home/cuihongwei/gem5/simpoint_arm/401.bzip2/arm-401.bzip2-input4-190604-144227

******************************benchmark****************************
target:     401.bzip2
executable: bzip2
args:       input.program 280
input:      
output:     /home/cuihongwei/gem5/simpoint_arm/401.bzip2/arm-401.bzip2-input4-190604-144227/run/input.program.out
errout:     /home/cuihongwei/gem5/simpoint_arm/401.bzip2/arm-401.bzip2-input4-190604-144227/run/input.program.err

******************************gem5****************************
arch:       /home/cuihongwei/gem5/pubs-gem5/build/ARM/gem5.opt
config:     /home/cuihongwei/gem5/pubs-gem5/configs/example/se.py
args:       --simpoint-profile --simpoint-interval=100000000 --maxinsts=900000000000 --cpu-type=NonCachingSimpleCPU --mem-type=SimpleMemory --mem-size=8GB

******************************simulation****************************
start time:(year-mon-day hour-minute-second)19-06-04 14-42-27
gem5 Simulator System.  http://gem5.org
gem5 is copyrighted software; use the --copyright option for details.

gem5 compiled May 16 2019 16:22:28
gem5 started Jun  4 2019 14:42:28
480000041000: system.cpu: Running Insts:       960000000
485000041000: system.cpu: Running Insts:       970000000
490000041000: system.cpu: Running Insts:       980000000
495000041000: system.cpu: Running Insts:       990000000
500000041000: system.cpu: Running Insts:      1000000000
505000041000: system.cpu: Running Insts:      1010000000
510000041000: system.cpu: Running Insts:      1020000000
515000041000: system.cpu: Running Insts:      1030000000
520000041000: system.cpu: Running Insts:      1040000000
525000041000: system.cpu: Running Insts:      1050000000
530000041000: system.cpu: Running Insts:      1060000000
535000041000: system.cpu: Running Insts:      1070000000
540000041000: system.cpu: Running Insts:      1080000000
545000041000: system.cpu: Running Insts:      1090000000
550000041000: system.cpu: Running Insts:      1100000000
555000041000: system.cpu: Running Insts:      1110000000
560000041000: system.cpu: Running Insts:      1120000000
565000041000: system.cpu: Running Insts:      1130000000
570000041000: system.cpu: Running Insts:      1140000000
575000041000: system.cpu: Running Insts:      1150000000
580000041000: system.cpu: Running Insts:      1160000000
585000041000: system.cpu: Running Insts:      1170000000
590000041000: system.cpu: Running Insts:      1180000000
595000041000: system.cpu: Running Insts:      1190000000
600000041000: system.cpu: Running Insts:      1200000000
605000041000: system.cpu: Running Insts:      1210000000
610000041000: system.cpu: Running Insts:      1220000000
615000041000: system.cpu: Running Insts:      1230000000
620000041000: system.cpu: Running Insts:      1240000000
625000041000: system.cpu: Running Insts:      1250000000
630000041000: system.cpu: Running Insts:      1260000000
635000041000: system.cpu: Running Insts:      1270000000
640000041000: system.cpu: Running Insts:      1280000000
645000041000: system.cpu: Running Insts:      1290000000
650000041000: system.cpu: Running Insts:      1300000000
655000041000: system.cpu: Running Insts:      1310000000
660000041000: system.cpu: Running Insts:      1320000000
665000041000: system.cpu: Running Insts:      1330000000
670000041000: system.cpu: Running Insts:      1340000000
675000041000: system.cpu: Running Insts:      1350000000
680000041000: system.cpu: Running Insts:      1360000000
685000041000: system.cpu: Running Insts:      1370000000
690000041000: system.cpu: Running Insts:      1380000000
695000041000: system.cpu: Running Insts:      1390000000
700000041000: system.cpu: Running Insts:      1400000000
705000041000: system.cpu: Running Insts:      1410000000
710000041000: system.cpu: Running Insts:      1420000000
715000041000: system.cpu: Running Insts:      1430000000
720000041000: system.cpu: Running Insts:      1440000000
725000041000: system.cpu: Running Insts:      1450000000
730000041000: system.cpu: Running Insts:      1460000000
735000041000: system.cpu: Running Insts:      1470000000
740000041000: system.cpu: Running Insts:      1480000000
745000041000: system.cpu: Running Insts:      1490000000
750000041000: system.cpu: Running Insts:      1500000000
755000041000: system.cpu: Running Insts:      1510000000
760000041000: system.cpu: Running Insts:      1520000000
765000041000: system.cpu: Running Insts:      1530000000
770000041000: system.cpu: Running Insts:      1540000000
775000041000: system.cpu: Running Insts:      1550000000
780000041000: system.cpu: Running Insts:      1560000000
785000041000: system.cpu: Running Insts:      1570000000
790000041000: system.cpu: Running Insts:      1580000000
795000041000: system.cpu: Running Insts:      1590000000
800000041000: system.cpu: Running Insts:      1600000000
805000041000: system.cpu: Running Insts:      1610000000
810000041000: system.cpu: Running Insts:      1620000000
815000041000: system.cpu: Running Insts:      1630000000
820000041000: system.cpu: Running Insts:      1640000000
825000041000: system.cpu: Running Insts:      1650000000
830000041000: system.cpu: Running Insts:      1660000000
835000041000: system.cpu: Running Insts:      1670000000
840000041000: system.cpu: Running Insts:      1680000000
